prime_item_nbr,prime_item_desc,prime_size_desc,item_nbr,item_flags,item_desc_1,item_desc_2,unit_retail,unit_cost,mu_percent,color_desc,size_desc,item_status,item_type,item_sub_type,upc,upc_desc,create_date,effective_date,obsolete_date,uom_sell_qty,uom_code,multi_unit_qty,multi_unit_cost,mfg_nbr,intl_code,product_code,product_description,shelf_number,shelf_description,mdse_category_intl,mdse_sub_category_intl,pack_type,order_book_flag,corp_cancel_when_out_flag,plu_nbr,return_sheet_nbr,ordbk_stars_qty,whse_align,last_change_date,last_change_time,expiration_date,status_chg_date,unit_size,unit_size_uom,item_opp_flag,item_opp_effective_date,item_opp_expiration_date,min_order_qty,max_order_qty,signing_desc,vndr_min_ord_qty,season_code,season_year,license_code,buying_region_code,space_desc,space_id,item_height,item_length,item_width,item_weight,brand_id,brand_desc,brand_family_id,brand_family_name,brand_owner_id,brand_owner_name,private_label,consumer_id,country_of_origin,dsci_loaded_at,dsci_revision,dsci_deleted,item_nbr,item_flags,buyer_user_id,buyer_full_name,category_team_lead_user_id,category_team_lead_full_name,dmm_user_id,dmm_full_name,gmm_user_id,gmm_full_name,evp_user_id,evp_full_name,fineline_number,fineline_description,dept_subcategory_description,dept_category_description,dept_category_group_description,mdse_subgroup_description,mdse_segment_description,dsci_loaded_at,dsci_revision,dsci_deleted,item_nbr,total_sales
554264203,"FLEX SEAL, ALMOND, 1",,554264203,,"FLEX SEAL, ALMOND, 1",ONLINE ONLY,12.99,7.46,0.43,NONE,,A,3,0,0085564700359,HOME,2015-07-06,2049-12-27,2500-01-01,1.00,EA,0,0.00,743443,,18094114,SEALANTS,18094113,SEALANTS,*Unassigned,*Unassigned,C,false,false,0,0,1,DI,2017-10-05,18:56:33:84,2049-12-31,2015-07-06,1.00,EA,false,,,0,0,FLEX SEAL ALMOND 14OZ,,0,2015,,6,WAL-MART.COM,1317,9.75,1.75,1.75,1.20,84602,ONLINE,208,NONE,164,NONE,N,17692569,CA,2022-04-19 18:20:37.872381 +00:00,0,false,554264203,,A0S011Z,"SCHUSSLER,ANDREW",MJESART,"ESARTE,MARTIN",MJESART,"ESARTE,MARTIN",A2ALBRI,"ALBRIGHT,ANDREA",CREDFIE,"REDFIELD,CHARLES",9379,DOTCOM ONLY,DOTCOM,DOTCOM,DOTCOM,CANDY AND IMPULSE,SNACKS BEVERAGES AND IMPULSE,2022-04-19 18:20:40.924165 +00:00,0,false,554264203,0.00
556554701,FLEX SEAL BLACK PINT,1.0EA,556554701,L,FLEX SEAL BLACK PINT,,15.37,8.84,0.42,BLACK,1.0EA,A,20,0,0085351700646,FLEX SEAL B,2016-10-10,2017-01-27,2500-01-01,1.00,EA,0,0.00,743443,,21711385,,21711384,FLEX SEAL BLACK PINT,TAPE.ADHESIVES.CAULK,CAULK,C,true,false,0,0,2,R4,2022-04-07,18:54:14:74,2049-12-31,2016-10-10,1.00,EA,false,,,0,0,FS LIQUID RUBBER SEALANT COATING PINT B,,,,,,,,4.00,3.38,3.38,1.00,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,22404183,US,2022-04-19 18:20:37.872381 +00:00,0,false,556554701,L,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,556554701,871140.35
563022337,"FLEX TAPE BLACK 4""",4FT,563022337,L,"FLEX TAPE BLACK 4""",,12.88,7.65,0.41,BLACK,4FT,A,20,0,0085280800705,FLEX TAPE B,2017-03-02,2017-04-11,2500-01-01,4.00,EA,0,0.00,743443,,24449735,"FLEX TAPE BLACK 4""",24449734,"FLEX TAPE BLACK 4""",AS SEEN ON TV,AS SEEN ON TV,C,true,false,0,0,2,WH,2022-02-28,18:53:40:11,2049-12-31,2017-03-02,4.00,FT,false,,,0,0,"FLEX TAPE BLACK 4"" WIDTH",,,,,,,,4.25,3.50,3.50,0.41,279115,AS SEEN ON TV,260,AS SEEN ON TV,219,AS SEEN ON TV,N,32120052,US,2022-04-19 18:20:37.872381 +00:00,0,false,563022337,L,A0S011Z,"SCHUSSLER,ANDREW",A0S011Z,"SCHUSSLER,ANDREW",MJESART,"ESARTE,MARTIN",A2ALBRI,"ALBRIGHT,ANDREA",CREDFIE,"REDFIELD,CHARLES",584,GARAGE & TOOLS,TRENDING NOW MISC,TRENDING NOW L3,TRENDING NOW,CANDY AND IMPULSE,SNACKS BEVERAGES AND IMPULSE,2022-04-19 18:20:40.924165 +00:00,0,false,563022337,1140461.69
563063819,FLEX SEAL LIQ GRY GL,1.0EA,556059889,L,"FLEX SEAL LIQUID, 1",ONLINE ONLY,89.88,52.04,0.42,NONE,1.0EA,A,3,0,0085351700657,FLEX SEAL G,2016-07-28,2049-12-27,2500-01-01,1.00,EA,0,0.00,743443,,21118212,SEALANTSFILLERSADHE,21118211,SEALANTSFILLERSADHE,*Unassigned,*Unassigned,C,false,false,0,0,2,DI,2022-01-12,18:55:27:81,2049-12-31,2016-07-28,1.00,EA,false,,,0,0,FLEX SEAL LIQUID GRAY GALLON,,0,2017,,6,WAL-MART.COM,1317,7.75,6.50,6.50,8.00,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,21906997,US,2022-04-19 18:20:37.872381 +00:00,0,false,556059889,L,JMF001P,"Feinberg,Jonathan",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",9379,DOTCOM ONLY,DOTCOM,DOTCOM,DOTCOM,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,556059889,-89.88
563064050,FLEX TAPE WHITE 8IN,1.0EA,563064050,L,FLEX TAPE WHITE 8IN,FLEX TAPE W,19.88,11.78,0.41,NONE,1.0EA,I,20,0,0085280800719,FLEX TAPE 8,2017-03-08,2017-03-20,2500-01-01,1.00,EA,0,0.00,743443,,24426371,,24426370,FLEX TAPE WHITE 8IN,TAPE.ADHESIVES.CAULK,CAULK,C,false,false,0,0,2,AS,2020-04-27,18:55:11:19,2049-12-31,2020-01-18,1.00,EA,false,,,0,0,FLEX TAPE WHITE 8IN,,,,,,,,8.25,3.50,3.50,1.00,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,32092484,US,2022-04-19 18:20:37.872381 +00:00,0,false,563064050,L,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,563064050,9.00
567926453,138PCFLEX FAMILY 13,,567926453,,138PCFLEX FAMILY 13,FLEX FAMILY,1827.12,1003.64,0.45,,,I,3,0,0085263900820,FLEX SEAL,2018-03-09,2018-03-26,2500-01-01,138.00,EA,0,0.00,743443,,0,,,,TAPE.ADHESIVES.CAULK,CAULK,C,false,false,0,0,2,DI,2022-04-07,18:54:17:05,2049-12-31,2018-03-09,138.00,EA,false,,,0,0,,,,,,,,,56.00,20.00,48.00,130.00,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,,,"US,CA",2022-04-19 18:20:37.872381 +00:00,0,false,567926453,,B0P030N,"Parra,Benjamin",JMF001P,"Feinberg,Jonathan",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4235,MISCELLANEOUS REPAIR,WATERSEAL,EXTERIOR PROTECTANTS L3,PAINT,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,567926453,
578228549,FLEX TAPE WHITE 8IN,1.0EA,578228549,L,FLEX TAPE WHITE 8IN,,19.88,11.80,0.41,,1.0EA,A,20,0,0085280800709,FT WHITE 8,2019-11-26,2019-12-09,2500-01-01,1.00,EA,0,0.00,743443,,32763464,"FLEX TAPE WHITE 8""",32763463,"FLEX TAPE WHITE 8""",AS SEEN ON TV,AS SEEN ON TV,C,true,false,0,0,2,WH,2022-03-24,18:54:01:61,2049-12-31,2019-11-26,1.00,EA,false,,,0,0,"FLEX TAPE WHITE 8""",,,,,,,,8.25,3.50,3.50,1.00,279115,AS SEEN ON TV,260,AS SEEN ON TV,219,AS SEEN ON TV,N,112714423,US,2022-04-19 18:20:37.872381 +00:00,0,false,578228549,L,A0S011Z,"SCHUSSLER,ANDREW",A0S011Z,"SCHUSSLER,ANDREW",MJESART,"ESARTE,MARTIN",A2ALBRI,"ALBRIGHT,ANDREA",CREDFIE,"REDFIELD,CHARLES",584,GARAGE & TOOLS,TRENDING NOW MISC,TRENDING NOW L3,TRENDING NOW,CANDY AND IMPULSE,SNACKS BEVERAGES AND IMPULSE,2022-04-19 18:20:40.924165 +00:00,0,false,578228549,194630.88
586323930,FLEX PASTE BLK 9OZ,1.0EA,586323930,L,FLEX PASTE BLK 9OZ,,13.24,7.65,0.42,,1.0EA,A,20,0,0085001789721,FLEX PASTE,2020-10-21,2021-01-22,2500-01-01,1.00,EA,0,0.00,743443,,97088501,,97088500,FLEX PASTE BLK 9OZ,TAPE.ADHESIVES.CAULK,ADHESIVES,C,true,false,0,0,2,WH,2022-04-07,18:54:21:53,2049-12-31,2020-10-21,1.00,EA,false,,,0,0,FLEX PASTE BLACK 9OZ CARTRIDGE,,,,,,,,11.25,3.00,3.00,0.56,540272,FLEX SEAL,36188,FLEX SEAL,33529,SWIFT RESPONSE LLC,N,195076646,US,2022-04-19 18:20:37.872381 +00:00,0,false,586323930,L,D0L09NU,"Lawson,Devan",L0G08W6,"Gunness,Liz",JFHUERT,"HUERTA,JOSE",DMRAYBU,"MARSHALL,DIANA",DMRAYBU,"MARSHALL,DIANA",4210,EPOXY,OTHER ADHESIVES,ADHESIVES DIY,DIY ACCESSORIES,HARDLINES,GENERAL MERCHANDISE,2022-04-19 18:20:40.924165 +00:00,0,false,586323930,679326.36
596585356,FLEX GLUE CLEAR MINI,.75 OZ,587730065,L,MINI GLUE CLEAR,,4.88,2.83,0.42,NA,NA,A,3,0,0085000333947,M GLUE CLR,2021-01-20,2021-02-08,2500-01-01,1.00,EA,0,0.00,743443,,0,,99220438,MINI GLUE CLEAR,IMPULSE STRIPS,IMPULSE STRIP,C,false,false,0,0,2,DI,2021-11-26,18:43:54:81,2022-12-31,2021-01-20,1.00,EA,false,,,0,0,MERCHANDISE,,0,2021,,,,,6.00,0.75,4.00,0.20,279115,AS SEEN ON TV,260,AS SEEN ON TV,219,AS SEEN ON TV,N,196708969,US,2022-04-19 18:20:37.872381 +00:00,0,false,587730065,L,NBUTCHE,"HECKSHER,NATALIE",NBUTCHE,"HECKSHER,NATALIE",MJESART,"ESARTE,MARTIN",A2ALBRI,"ALBRIGHT,ANDREA",CREDFIE,"REDFIELD,CHARLES",8199,IMPULSE SIDEKICKS,SIDEKICKS,GM IMPULSE L3,GM IMPULSE,CANDY AND IMPULSE,SNACKS BEVERAGES AND IMPULSE,2022-04-19 18:20:40.924165 +00:00,0,false,587730065,64413.71
555056091,FLEX SEAL CLEAR,1.0EA,555056091,L,FLEX SEAL CLEAR,FLEX SEAL CLEAR,12.88,7.65,0.41,,1.0EA,A,20,0,0085564700320,FLEX SEAL,2015-12-21,2016-02-19,2500-01-01,1.00,EA,0,0.00,743443,,14454416,,14454415,FLEX SEAL- CLEAR,AS SEEN ON TV,AS SEEN ON TV,C,true,false,0,0,2,R4,2021-12-14,18:52:13:35,2049-12-31,2015-12-21,1.00,EA,false,,,4,0,FLEX SEAL CLEAR LIQUID RUBBER SEALANT,4,,,,,,,9.50,2.50,2.50,0.88,279115,AS SEEN ON TV,260,AS SEEN ON TV,219,AS SEEN ON TV,N,12757025,US,2022-04-19 18:20:37.872381 +00:00,0,false,555056091,L,A0S011Z,"SCHUSSLER,ANDREW",A0S011Z,"SCHUSSLER,ANDREW",MJESART,"ESARTE,MARTIN",A2ALBRI,"ALBRIGHT,ANDREA",CREDFIE,"REDFIELD,CHARLES",584,GARAGE & TOOLS,TRENDING NOW MISC,TRENDING NOW L3,TRENDING NOW,CANDY AND IMPULSE,SNACKS BEVERAGES AND IMPULSE,2022-04-19 18:20:40.924165 +00:00,0,false,555056091,1357886.35
