retailer_week,week_beginning,week_ending,last_year_retailer_week,last_year_week_ending,fiscal_week,fiscal_month,fiscal_year,calendar_month_name,calendar_month,calendar_year,quarter,week_offset,dsci_inserted_date,dsci_last_modified_date,dsci_last_loaded_date,dsci_last_pulled_date,fiscal_year_offset,calendar_year_offset,quarter_offset,calendar_month_offset,fiscal_month_offset,next_year_retailer_week,next_year_week_ending
201012,2010-04-17,2010-04-23,200912,2009-04-24,12,3,2010,April,4,2010,1,-626,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-12,-12,-48,-144,-144,201112,2011-04-22
201017,2010-05-22,2010-05-28,200917,2009-05-29,17,4,2010,May,5,2010,2,-621,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-12,-12,-47,-143,-143,201117,2011-05-27
201032,2010-09-04,2010-09-10,200932,2009-09-11,32,8,2010,September,9,2010,3,-606,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-12,-12,-46,-139,-139,201132,2011-09-09
201133,2011-09-10,2011-09-16,201033,2010-09-17,33,8,2011,September,9,2011,3,-553,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-11,-11,-42,-127,-127,201233,2012-09-14
201136,2011-10-01,2011-10-07,201036,2010-10-08,36,9,2011,October,10,2011,3,-550,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-11,-11,-42,-126,-126,201236,2012-10-05
201141,2011-11-05,2011-11-11,201041,2010-11-12,41,10,2011,November,11,2011,4,-545,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-11,-11,-41,-125,-125,201241,2012-11-09
201208,2012-03-17,2012-03-23,201108,2011-03-25,8,2,2012,March,3,2012,1,-526,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-10,-10,-40,-121,-121,201308,2013-03-22
201217,2012-05-19,2012-05-25,201117,2011-05-27,17,4,2012,May,5,2012,2,-517,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-10,-10,-39,-119,-119,201317,2013-05-24
201219,2012-06-02,2012-06-08,201119,2011-06-10,19,5,2012,June,6,2012,2,-515,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-10,-10,-39,-118,-118,201319,2013-06-07
201237,2012-10-06,2012-10-12,201137,2011-10-14,37,9,2012,October,10,2012,3,-497,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-10,-10,-38,-114,-114,201337,2013-10-11
201311,2013-04-06,2013-04-12,201211,2012-04-13,11,3,2013,April,4,2013,1,-471,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-9,-9,-36,-108,-108,201410,2014-04-11
201316,2013-05-11,2013-05-17,201216,2012-05-18,16,4,2013,May,5,2013,2,-466,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-9,-9,-35,-107,-107,201415,2014-05-16
201328,2013-08-03,2013-08-09,201228,2012-08-10,28,7,2013,August,8,2013,3,-454,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-9,-9,-34,-104,-104,201427,2014-08-08
201337,2013-10-05,2013-10-11,201237,2012-10-12,37,9,2013,October,10,2013,3,-445,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-9,-9,-34,-102,-102,201436,2014-10-10
201339,2013-10-19,2013-10-25,201239,2012-10-26,39,9,2013,October,10,2013,3,-443,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-9,-9,-34,-102,-102,201438,2014-10-24
201350,2014-01-04,2014-01-10,201250,2013-01-11,50,12,2013,January,1,2014,4,-432,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-9,-8,-33,-99,-99,201449,2015-01-09
201404,2014-02-22,2014-02-28,201305,2013-03-01,4,1,2014,February,2,2014,1,-425,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-8,-8,-32,-98,-98,201504,2015-02-27
201405,2014-03-01,2014-03-07,201306,2013-03-08,5,2,2014,March,3,2014,1,-424,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-8,-8,-32,-97,-97,201505,2015-03-06
201417,2014-05-24,2014-05-30,201318,2013-05-31,17,4,2014,May,5,2014,2,-412,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-8,-8,-31,-95,-95,201517,2015-05-29
201419,2014-06-07,2014-06-13,201320,2013-06-14,19,5,2014,June,6,2014,2,-410,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-8,-8,-31,-94,-94,201519,2015-06-12
201441,2014-11-08,2014-11-14,201342,2013-11-15,41,10,2014,November,11,2014,4,-388,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-8,-8,-29,-89,-89,201541,2015-11-13
201449,2015-01-03,2015-01-09,201350,2014-01-10,49,12,2014,January,1,2015,4,-380,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-8,-7,-29,-87,-87,201549,2016-01-08
201534,2015-09-19,2015-09-25,201434,2014-09-26,34,8,2015,September,9,2015,3,-343,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-7,-7,-26,-79,-79,201634,2016-09-23
201540,2015-10-31,2015-11-06,201440,2014-11-07,40,10,2015,November,11,2015,4,-337,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-7,-7,-25,-77,-77,201640,2016-11-04
201543,2015-11-21,2015-11-27,201443,2014-11-28,43,10,2015,November,11,2015,4,-334,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-7,-7,-25,-77,-77,201643,2016-11-25
201549,2016-01-02,2016-01-08,201449,2015-01-09,49,12,2015,January,1,2016,4,-328,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-7,-6,-25,-75,-75,201649,2017-01-06
201604,2016-02-20,2016-02-26,201504,2015-02-27,4,1,2016,February,2,2016,1,-321,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-6,-6,-24,-74,-74,201704,2017-02-24
201610,2016-04-02,2016-04-08,201510,2015-04-10,10,3,2016,April,4,2016,1,-315,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-6,-6,-24,-72,-72,201710,2017-04-07
201611,2016-04-09,2016-04-15,201511,2015-04-17,11,3,2016,April,4,2016,1,-314,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,2020-01-30 19:30:49.431277,-6,-6,-24,-72,-72,201711,2017-04-14
